f_timestamp,f_id,cluster_data,f_u_id
2023-03-24T21:00:06.109000Z,4695,"[[2.5077827, 11.268496, 'cam_142'], [1.5739316, 10.638044, 'cam_142']]",-1
2023-03-24T21:00:06.109000Z,3939,"[[5.83503, 10.35634, 'cam_142']]",-1
2023-03-24T21:00:06.194000Z,1173,"[[8.830462, 3.7205513, 'cam_133']]",-1
2023-03-24T21:00:06.194000Z,3740,"[[2.308586, 2.7033632, 'cam_133']]",-1
2023-03-24T21:00:06.194000Z,3322,"[[5.949548, 5.857089, 'cam_133']]",-1
2023-03-24T21:00:06.234000Z,8424,"[[16.448694, 7.2417254, 'cam_141']]",-1
2023-03-24T21:00:06.305000Z,5917,"[[8.840867, 3.7289803, 'cam_133']]",-1
2023-03-24T21:00:06.305000Z,9784,"[[2.3436275, 2.681332, 'cam_133']]",-1
2023-03-24T21:00:06.305000Z,1739,"[[5.918557, 5.768519, 'cam_133']]",-1
2023-03-24T21:00:06.365000Z,2937,"[[2.0903542, 20.521679, 'cam_140']]",-1
2023-03-24T21:00:06.365000Z,2578,"[[4.905233, 12.837603, 'cam_140']]",-1
2023-03-24T21:00:06.401000Z,7100,"[[6.115857, 10.378415, 'cam_142']]",-1
2023-03-24T21:00:06.401000Z,7752,"[[2.5079632, 11.273026, 'cam_142'], [1.6964345, 10.56442, 'cam_142']]",-1
2023-03-24T21:00:06.480000Z,9193,"[[6.1221337, 10.382349, 'cam_142']]",-1
2023-03-24T21:00:06.480000Z,6871,"[[2.510893, 11.26951, 'cam_142'], [1.717922, 10.562257, 'cam_142']]",-1
2023-03-24T21:00:06.538000Z,8795,"[[1.7522987, 10.541641, 'cam_142'], [2.514811, 11.267221, 'cam_142']]",-1
2023-03-24T21:00:06.538000Z,7984,"[[6.162009, 10.356548, 'cam_142']]",-1
2023-03-24T21:00:06.571000Z,4758,"[[5.9424067, 5.549937, 'cam_133']]",-1
2023-03-24T21:00:06.571000Z,9593,"[[8.86996, -5.5679793, 'cam_133']]",-1
2023-03-24T21:00:06.571000Z,1819,"[[2.2976305, 3.18507, 'cam_133']]",4
2023-03-24T21:00:06.571000Z,1915,"[[8.810895, 3.7498415, 'cam_133']]",-1
2023-03-24T21:00:06.612000Z,3215,"[[16.599686, 7.1283364, 'cam_141']]",-1
2023-03-24T21:00:06.693000Z,8882,"[[5.9262013, 5.540028, 'cam_133']]",-1
2023-03-24T21:00:06.693000Z,6351,"[[8.89588, -5.6766796, 'cam_133']]",-1
2023-03-24T21:00:06.693000Z,6973,"[[8.824209, 3.7379663, 'cam_133']]",-1
2023-03-24T21:00:06.693000Z,1534,"[[2.339257, 3.044736, 'cam_133']]",-1
2023-03-24T21:00:06.772000Z,7062,"[[2.1553495, 20.364244, 'cam_140']]",-1
2023-03-24T21:00:06.836000Z,3914,"[[2.532221, 11.279844, 'cam_142']]",-1
2023-03-24T21:00:06.836000Z,8486,"[[6.372109, 10.288139, 'cam_142']]",-1
2023-03-24T21:00:06.906000Z,9704,"[[16.674421, 7.2431126, 'cam_141']]",-1
2023-03-24T21:00:06.938000Z,6165,"[[5.9394813, 5.2485757, 'cam_133']]",-1
2023-03-24T21:00:06.938000Z,6015,"[[9.118012, -7.018444, 'cam_133']]",-1
2023-03-24T21:00:06.938000Z,1257,"[[8.685082, 3.935136, 'cam_133']]",-1
2023-03-24T21:00:06.938000Z,5958,"[[2.3047645, 3.840684, 'cam_133']]",-1
